;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
01.11.2020;5,997;4,743;4,806;4,722;3,804;3,231;3,48;3,108;3,09;3,396;4,143;3,471;4,317;4,44;4,986;5,142;5,907;7,299;7,35;7,149;8,361;9,138;8,631;8,559
02.11.2020;6,657;5,454;5,508;5,25;4,26;4,242;4,575;4,602;4,608;4,602;6,057;6,855;6,285;6,267;6,594;5,784;6,135;7,245;7,701;8,007;7,8;8,742;8,373;8,442
03.11.2020;6,744;5,379;4,368;3,741;3,747;3,822;3,903;4,809;5,862;4,674;5,379;4,725;5,85;5,661;5,778;7,125;6,63;6,909;6,681;7,467;7,758;7,671;9,474;8,079
04.11.2020;7,185;5,667;5,235;4,935;4,119;3,615;3,639;3,567;3,756;3,789;3,471;4,323;4,839;4,797;5,799;6,273;7,572;7,188;6,933;7,089;7,818;7,77;8,214;8,154
05.11.2020;6,939;5,421;4,35;3,732;3,549;3,282;3,627;4,116;4,227;4,251;4,287;5,472;5,703;5,451;6,486;6,633;6,774;7,593;7,557;7,497;7,212;7,422;7,908;7,395
06.11.2020;6,459;5,961;5,061;4,407;3,813;3,576;3,726;3,945;4,704;4,743;4,713;4,623;5,793;6,036;6,348;6,735;6,714;6,252;6,117;6,816;7,656;6,828;6,462;6,108
07.11.2020;6,069;5,13;5,106;4,254;3,903;3,507;3,72;3,282;3,018;4,173;4,917;5,694;4,638;5,304;5,568;5,502;6,747;5,664;7,308;6,618;7,026;6,663;6,516;6,366
08.11.2020;5,55;5,367;4,347;3,714;2,979;2,958;2,775;2,73;3;3,45;3,483;4,188;5,295;5,448;5,256;4,992;6,861;6,432;6,636;6,57;8,139;8,262;8,541;8,154
09.11.2020;7,059;5,43;4,248;4,173;3,495;3,675;3,543;3,795;3,888;4,125;4,743;4,827;5,013;4,716;5,478;5,34;5,742;6,966;6,987;7,101;7,425;8,004;8,838;7,779
10.11.2020;5,994;5,409;4,197;3,483;2,868;2,889;3,294;3,657;4,986;4,479;5,688;5,019;5,256;4,908;5,91;6,375;7,134;7,548;7,488;7,821;8,778;9,432;8,454;8,145
11.11.2020;6,9;7,035;6,309;3,663;3,579;3,078;3,828;3,606;4,953;3,885;4,581;5,205;5,964;4,671;6,138;6,288;7,941;9,507;8,244;8,748;8,019;9,915;10,254;9,606
12.11.2020;7,092;5,913;4,827;4,644;4,452;3,828;4,188;4,554;3,549;3,498;5,04;6,522;5,844;4,998;6,009;7,137;6,789;9,192;8,148;8,304;8,784;8,892;10,728;10,959
13.11.2020;8,79;7,656;5,025;4,419;3,768;3,423;3,066;3,882;4,656;6,279;5,427;4,584;4,758;6,378;5,502;6,738;5,643;6,783;7,221;8,31;7,752;6,57;5,793;6,045
14.11.2020;6,759;5,16;3,927;3,597;2,913;2,784;2,61;3,261;3,453;3,414;3,924;4,467;3,996;5,313;4,179;5,46;6,297;7,542;6,789;6,885;5,49;5,535;5,031;4,779
15.11.2020;6,303;5,682;4,185;5,484;3,354;2,922;2,742;3,297;3,111;3,306;3,102;3,177;4,098;4,641;5,577;6,963;6,711;8,346;9,456;9,525;9,117;9,558;9,885;8,64
16.11.2020;10,215;7,431;6,3;5,475;4,413;3,816;3,894;4,749;3,618;4,101;5,136;4,689;6,177;6,138;5,331;6,207;6,312;7,815;9,093;7,581;8,67;9,492;9,918;11,382
17.11.2020;8,517;7,764;5,925;6,774;4,968;5,13;4,92;7,536;6,999;5,547;5,829;4,971;5,358;4,926;5,436;5,733;6,786;7,806;8,07;8,553;9,399;9,807;11,187;10,734
18.11.2020;9,573;7,272;5,604;5,733;4,566;3,612;3,984;4,731;5,478;5,268;6,45;5,844;4,365;4,476;6,456;8,25;9,726;9,567;7,842;8,01;8,952;9,309;10,062;10,983
19.11.2020;8,922;5,574;4,359;3,753;3,483;3,192;2,937;3,918;3,864;4,134;6,036;5,487;5,901;6,408;7,779;7,452;8,139;10,419;8,598;7,539;9,357;9,141;9,924;8,763
20.11.2020;9,138;8,343;5,646;4,848;3,993;3,66;3,771;4,458;4,017;4,776;5,205;6,063;5,58;6,921;6,309;7,347;9,078;8,052;6,423;9,684;9,897;8,202;8,889;8,04
21.11.2020;7,11;6,387;5,598;4,854;4,905;4,188;3,525;3,444;3,846;4,239;3,969;5,079;4,608;4,893;5,421;4,998;5,904;5,685;5,838;6,138;6,657;8,364;8,667;9,198
22.11.2020;7,533;6,129;6,363;6,669;4,536;5,34;4,902;4,491;3,717;3,93;4,386;4,581;6,426;6,831;8,592;9,699;7,764;7,827;7,854;7,89;8,223;9,426;10,527;8,637
23.11.2020;7,872;6,597;5,301;4,578;3,999;3,828;3,39;4,248;4,98;4,194;4,296;4,005;4,494;4,968;5,997;7,944;5,817;7,14;7,878;10,218;8,871;12,03;10,314;9,039
24.11.2020;6,768;5,997;6,186;4,311;4,047;3,753;4,179;5,067;4,437;5,346;5,466;6,132;5,604;6,273;7,212;8,619;6,219;7,992;7,86;8,532;7,914;9,888;11,307;9,066
25.11.2020;8,799;6,654;5,325;4,329;3,666;3,462;3,876;6,255;6,018;5,358;5,586;5,751;5,718;7,344;7,029;8,616;7,206;7,893;9,684;9,264;10,476;9,258;8,727;10,347
26.11.2020;8,199;6,753;6,327;4,755;3,162;3,09;3,501;3,894;4,356;3,816;4,044;5,04;4,986;5,769;5,907;6,555;8,583;7,5;6,984;7,632;7,485;7,107;8,271;8,067
27.11.2020;8,976;6,783;6,774;5,169;4,14;3,987;3,897;5,493;6,729;6,012;5,61;6,093;4,71;5,868;6,702;7,929;8,121;6,831;6,618;6,378;6,468;7,773;7,419;6,489
28.11.2020;5,946;5,67;4,974;3,831;4,059;3,441;3,183;3,141;3,747;4,194;4,155;4,611;4,482;4,674;4,725;5,199;5,886;6,549;5,301;4,752;5,382;5,529;6,435;5,556
29.11.2020;4,995;6,075;4,803;3,411;3,126;2,862;2,973;3,093;3,03;3,213;3,642;3,261;3,54;5,832;7,296;5,874;6,741;7,275;9,069;8,463;8,823;9,849;7,815;8,166
30.11.2020;8,211;7,023;5,76;6,642;5,124;5,523;5,151;6,543;5,169;6,552;7,641;5,94;6,201;5,703;6,84;6,828;7,851;8,763;8,985;8,922;8,562;9,126;9,339;8,406
